ID,Type,Label,Description,X,Y,Width,Height,Fill_Color,Text_Color,Connections_To,Connection_Labels
1,start,🛒 Start Cart Process,Beginning of shopping cart workflow,100,50,150,70,#e3f2fd,#000000,2,""
2,process,📱 Product Detail Page,User viewing product details and specifications,100,150,150,70,#e8f5e8,#000000,3,""
3,decision,➕ Add to Cart?,User decides whether to add product to cart,75,250,200,90,#fff3e0,#000000,"4,5,6","Single Item,Custom Quantity,No"
4,process,1️⃣ Quick Add,Add single item to cart quickly,25,380,140,70,#e8f5e8,#000000,7,""
5,process,🔢 Custom Quantity,Add product with specific quantity,200,380,150,70,#e8f5e8,#000000,8,""
6,process,🔍 Continue Browsing,User continues to browse other products,375,380,150,70,#f3e5f5,#000000,2,""
7,process,📝 Enter Quantity,User enters desired quantity,25,480,140,70,#e8f5e8,#000000,9,""
8,process,📝 Quantity Input,Process custom quantity input,200,480,150,70,#e8f5e8,#000000,9,""
9,decision,🔐 User Authenticated?,Check if user is logged in,100,580,180,90,#fff3e0,#000000,"10,11","No,Yes"
10,process,🚪 Redirect to Login,Send user to login page,300,580,150,70,#ffebee,#000000,2,""
11,process,🔍 Validate Product,Check product availability and validity,100,700,150,70,#e8f5e8,#000000,12,""
12,decision,✅ Product Valid?,Verify if product exists and is available,75,800,200,90,#fff3e0,#000000,"13,14","Yes,No"
13,process,❌ Invalid Product Error,Display error message for invalid product,300,800,170,70,#ffebee,#000000,2,""
14,process,🔍 Check Existing Cart Item,Look for existing cart item for this product,100,920,180,70,#e8f5e8,#000000,15,""
15,decision,📦 Item Already in Cart?,Check if item already exists in cart,75,1020,200,90,#fff3e0,#000000,"16,17","Yes,No"
16,process,🔄 Update Quantity,Update existing item quantity and amount,25,1140,150,70,#e8f5e8,#000000,18,""
17,process,➕ Create New Cart Item,Create new cart item record,200,1140,160,70,#e8f5e8,#000000,18,""
18,process,📦 Stock Validation,Validate product stock availability,100,1240,150,70,#e8f5e8,#000000,19,""
19,decision,📦 Stock Available?,Check if sufficient stock is available,75,1340,200,90,#fff3e0,#000000,"20,21","Yes,No"
20,process,❌ Insufficient Stock,Display insufficient stock error,300,1340,160,70,#ffebee,#000000,2,""
21,process,💾 Save to Database,Save cart item to database,100,1460,150,70,#e8f5e8,#000000,22,""
22,process,❤️ Update Wishlist,Update wishlist if item was moved from wishlist,100,1560,150,70,#e8f5e8,#000000,23,""
23,process,✅ Success Message,Display success message to user,100,1660,150,70,#d4edda,#000000,24,""
24,decision,🎯 Next Action?,User chooses next action,75,1760,200,90,#fff3e0,#000000,"25,26,27","View Cart,Continue Shopping,Checkout"
25,process,🛒 View Cart Page,Display cart contents and management options,25,1880,140,70,#ffe6cc,#000000,28,""
26,process,🔍 Continue Browsing,Return to product browsing,200,1880,150,70,#f3e5f5,#000000,2,""
27,process,💳 Proceed to Checkout,Start checkout process,375,1880,160,70,#ffe6cc,#000000,35,""
28,decision,⚙️ Cart Management?,User chooses cart management action,0,2000,250,90,#fff3e0,#000000,"29,30,31,32","Update Quantities,Remove Items,Apply Coupon,Checkout"
29,process,🔄 Update Cart,Update item quantities in cart,25,2120,140,70,#e8f5e8,#000000,33,""
30,process,🗑️ Delete Item,Remove specific items from cart,200,2120,140,70,#ffebee,#000000,34,""
31,process,🎫 Apply Coupon,Apply discount coupon to cart,375,2120,140,70,#fff3e0,#000000,36,""
32,process,💳 Proceed to Checkout,Move to checkout process,550,2120,160,70,#ffe6cc,#000000,35,""
33,process,🔍 Validate Updates,Validate quantity updates and stock,25,2240,150,70,#e8f5e8,#000000,25,""
34,decision,❓ Confirm Delete?,Ask user to confirm item deletion,175,2240,200,90,#fff3e0,#000000,"37,25","Yes,No"
35,process,💳 Checkout Process,Begin complete checkout workflow,400,2000,150,70,#d4edda,#000000,38,""
36,process,🔍 Validate Coupon,Check if coupon is valid and applicable,375,2240,150,70,#e8f5e8,#000000,39,""
37,process,🗑️ Remove from Database,Delete item from cart database,25,2360,170,70,#ffebee,#000000,25,""
38,end,🎉 Order Processing,Complete order processing begins,400,2120,150,70,#d4edda,#000000,"",""
39,decision,✅ Valid Coupon?,Check if coupon is valid and active,350,2360,200,90,#fff3e0,#000000,"40,41","Yes,No"
40,process,💰 Apply Discount,Apply coupon discount to total,275,2480,150,70,#d4edda,#000000,25,""
41,process,❌ Invalid Coupon,Display invalid coupon error message,475,2480,160,70,#ffebee,#000000,25,""
